year;month;day;hour;minute;tweets;related;rainfall (mm/30min);Next batch rainfall (mm/30min);Next batch rainfall class
2016;1;18;11;0;15;0;0.0;0.0;fraca
2016;1;30;5;0;2;0;0.0;0.2;fraca
2016;1;17;18;0;11;0;0.0;0.0;fraca
2016;1;15;13;30;22;0;0.0;0.4;fraca
2016;1;28;2;30;0;0;0.0;0.0;fraca
2016;1;16;4;30;2;0;0.0;0.0;fraca
2016;1;3;11;30;1;0;0.0;0.0;fraca
2016;1;6;17;30;16;0;0.0;0.0;fraca
2016;1;14;2;0;11;0;0.0;0.0;fraca
2016;1;9;18;30;0;0;0.0;0.0;fraca
2016;1;3;7;30;0;0;0.0;0.0;fraca
2016;1;26;21;30;3;0;0.0;0.0;fraca
2016;1;26;16;30;2;0;0.0;0.0;fraca
2016;1;28;6;0;4;0;0.0;0.0;fraca
2016;1;28;16;0;5;0;0.0;0.0;fraca
2016;1;13;19;0;6;0;0.0;0.0;fraca
2016;1;6;5;0;0;0;0.0;0.0;fraca
2016;1;21;11;0;5;0;0.0;0.2;fraca
2016;1;5;14;30;9;0;0.0;0.0;fraca
2016;1;2;6;0;1;0;0.0;0.0;fraca
2016;1;17;21;30;5;0;0.0;0.0;fraca
2016;1;17;20;30;8;0;0.0;0.0;fraca
2016;1;10;15;0;4;0;0.0;0.2;fraca
2016;1;20;12;0;7;0;0.0;0.0;fraca
2016;1;28;17;30;4;0;0.0;0.0;fraca
2016;1;11;17;0;15;0;0.98;0.4;fraca
2016;1;29;20;30;4;0;0.0;0.0;fraca
2016;1;28;4;30;0;0;0.0;0.0;fraca
2016;1;13;4;0;10;0;0.0;0.0;fraca
2016;1;20;16;0;8;0;0.0;0.0;fraca
2016;1;13;0;30;1;0;0.0;0.0;fraca
2016;1;31;19;30;5;0;0.0;0.0;fraca
2016;1;1;21;30;4;0;0.0;0.0;fraca
2016;1;20;3;0;0;0;0.0;0.0;fraca
2016;1;22;19;30;10;0;0.0;0.0;fraca
2016;1;10;4;0;0;0;3.34;1.96;fraca
2016;1;31;5;0;0;0;0.0;0.0;fraca
2016;1;21;5;0;1;0;0.0;0.0;fraca
2016;1;3;0;30;0;0;0.0;0.0;fraca
2016;1;17;1;30;1;0;0.0;0.0;fraca
2016;1;11;22;0;6;0;0.0;0.0;fraca
2016;1;2;13;30;3;0;0.0;0.0;fraca
2016;1;6;21;30;17;0;0.0;0.0;fraca
2016;1;29;23;0;3;0;0.0;0.0;fraca
2016;1;18;9;30;6;0;0.0;0.0;fraca
2016;1;11;5;0;0;0;0.4;0.2;fraca
2016;1;8;7;0;6;0;0.0;0.0;fraca
2016;1;13;1;0;5;0;0.0;0.0;fraca
2016;1;26;2;30;1;0;0.0;0.0;fraca
2016;1;15;10;30;2;0;0.0;0.0;fraca
2016;1;10;23;0;12;0;0.0;0.0;fraca
2016;1;13;14;0;8;0;0.0;0.0;fraca
2016;1;7;13;0;17;0;0.0;0.0;fraca
2016;1;24;10;0;3;0;0.0;0.0;fraca
2016;1;22;5;0;0;0;0.0;0.0;fraca
2016;1;7;19;0;32;0;0.0;0.0;fraca
2016;1;30;21;0;11;0;0.0;0.0;fraca
2016;1;13;10;30;16;0;0.0;0.0;fraca
2016;1;8;23;0;2;0;0.0;0.0;fraca
2016;1;8;5;0;1;0;0.0;0.0;fraca
2016;1;31;11;30;8;0;0.0;0.0;fraca
2016;1;9;17;0;0;0;0.0;0.0;fraca
2016;1;31;18;30;4;0;0.0;0.0;fraca
2016;1;6;10;0;3;0;0.0;0.0;fraca
2016;1;1;4;0;0;0;0.0;0.0;fraca
2016;1;12;17;0;39;0;0.0;0.0;fraca
2016;1;19;8;30;2;0;0.0;0.0;fraca
2016;1;26;18;30;10;0;0.0;0.0;fraca
2016;1;24;11;0;8;0;0.0;0.0;fraca
2016;1;3;22;0;3;0;0.0;0.0;fraca
2016;1;13;22;30;31;0;0.0;0.0;fraca
2016;1;4;18;30;9;0;0.0;0.0;fraca
2016;1;25;15;30;7;0;0.0;0.0;fraca
2016;1;3;23;30;1;0;0.0;0.0;fraca
2016;1;1;20;0;4;0;1.77;0.79;fraca
2016;1;16;16;30;11;0;0.0;0.0;fraca
2016;1;25;21;30;2;0;0.0;0.0;fraca
2016;1;2;23;30;0;0;0.98;0.4;fraca
2016;1;12;18;30;17;0;0.0;0.0;fraca
2016;1;12;3;30;12;1;0.2;0.0;fraca
2016;1;10;14;30;4;0;0.4;0.0;fraca
2016;1;2;20;0;0;0;0.0;0.0;fraca
