hour;minute;tweets;related;rainfall (mm/30min);Normalized hour;Normalized minute;Normalized tweets;Normalized related;Normalized rainfall (mm/30min);Next batch rainfall (mm/30min);Next batch rainfall class
1;30;2;0;0.0;0.043478260869565216;1.0;0.03508771929824561;0.0;0.0;0.0;0
20;30;20;0;0.0;0.8695652173913043;1.0;0.3508771929824561;0.0;0.0;0.0;0
9;30;7;0;0.0;0.391304347826087;1.0;0.12280701754385964;0.0;0.0;0.0;0
12;0;19;0;0.0;0.5217391304347826;0.0;0.3333333333333333;0.0;0.0;0.0;0
9;30;23;3;0.0;0.391304347826087;1.0;0.40350877192982454;0.75;0.0;0.0;0
4;0;0;0;0.2;0.17391304347826086;0.0;0.0;0.0;0.005509641873278238;0.0;0
3;0;0;0;0.0;0.13043478260869565;0.0;0.0;0.0;0.0;0.0;0
15;0;13;0;0.0;0.6521739130434783;0.0;0.22807017543859648;0.0;0.0;0.0;0
11;30;1;0;0.0;0.4782608695652174;1.0;0.017543859649122806;0.0;0.0;0.0;0
22;0;20;0;0.0;0.9565217391304348;0.0;0.3508771929824561;0.0;0.0;0.0;0
14;0;15;0;0.0;0.6086956521739131;0.0;0.2631578947368421;0.0;0.0;0.0;0
15;30;29;0;0.0;0.6521739130434783;1.0;0.5087719298245614;0.0;0.0;0.0;0
0;0;11;0;0.0;0.0;0.0;0.19298245614035087;0.0;0.0;0.0;0
7;0;11;0;0.0;0.30434782608695654;0.0;0.19298245614035087;0.0;0.0;0.2;0
4;30;0;0;0.0;0.17391304347826086;1.0;0.0;0.0;0.0;0.0;0
14;30;15;0;0.0;0.6086956521739131;1.0;0.2631578947368421;0.0;0.0;0.0;0
1;30;3;0;0.0;0.043478260869565216;1.0;0.05263157894736842;0.0;0.0;0.0;0
22;30;10;0;0.0;0.9565217391304348;1.0;0.17543859649122806;0.0;0.0;0.0;0
7;30;9;0;0.0;0.30434782608695654;1.0;0.15789473684210525;0.0;0.0;0.0;0
20;0;22;0;0.0;0.8695652173913043;0.0;0.38596491228070173;0.0;0.0;0.0;0
20;0;21;0;0.0;0.8695652173913043;0.0;0.3684210526315789;0.0;0.0;0.0;0
9;30;2;0;0.0;0.391304347826087;1.0;0.03508771929824561;0.0;0.0;0.0;0
11;30;10;0;0.0;0.4782608695652174;1.0;0.17543859649122806;0.0;0.0;0.0;0
15;0;7;0;0.0;0.6521739130434783;0.0;0.12280701754385964;0.0;0.0;0.0;0
14;0;15;0;0.0;0.6086956521739131;0.0;0.2631578947368421;0.0;0.0;0.0;0
23;30;11;0;0.0;1.0;1.0;0.19298245614035087;0.0;0.0;1.96;0
10;0;7;0;0.0;0.43478260869565216;0.0;0.12280701754385964;0.0;0.0;0.0;0
3;30;2;0;0.0;0.13043478260869565;1.0;0.03508771929824561;0.0;0.0;0.0;0
2;0;2;0;0.0;0.08695652173913043;0.0;0.03508771929824561;0.0;0.0;0.0;0
17;30;18;0;0.0;0.7391304347826086;1.0;0.3157894736842105;0.0;0.0;0.0;0
3;0;0;0;0.0;0.13043478260869565;0.0;0.0;0.0;0.0;0.0;0
6;30;8;0;0.0;0.2608695652173913;1.0;0.14035087719298245;0.0;0.0;0.0;0
8;0;7;0;0.0;0.34782608695652173;0.0;0.12280701754385964;0.0;0.0;0.0;0
22;30;20;0;0.0;0.9565217391304348;1.0;0.3508771929824561;0.0;0.0;0.0;0
3;30;2;0;0.4;0.13043478260869565;1.0;0.03508771929824561;0.0;0.011019283746556476;0.0;0
7;0;4;0;0.0;0.30434782608695654;0.0;0.07017543859649122;0.0;0.0;0.0;0
8;0;18;0;0.0;0.34782608695652173;0.0;0.3157894736842105;0.0;0.0;0.0;0
0;30;4;0;0.0;0.0;1.0;0.07017543859649122;0.0;0.0;0.0;0
7;0;4;0;0.0;0.30434782608695654;0.0;0.07017543859649122;0.0;0.0;0.0;0
12;30;32;0;0.0;0.5217391304347826;1.0;0.5614035087719298;0.0;0.0;0.0;0
22;30;10;0;0.0;0.9565217391304348;1.0;0.17543859649122806;0.0;0.0;0.0;0
2;0;7;0;0.0;0.08695652173913043;0.0;0.12280701754385964;0.0;0.0;0.0;0
11;0;13;0;0.0;0.4782608695652174;0.0;0.22807017543859648;0.0;0.0;0.0;0
