year;month;day;hour;minute;tweets;related;rainfall (mm/30min);precision;recall;Next batch rainfall (mm/30min);Next batch rainfall class
2016;1;24;12;0;9;0;0.0;0.0;0.0;0.0;fraca
2016;1;22;12;30;9;0;0.0;0.0;0.0;0.0;fraca
2016;1;23;13;0;10;0;0.0;0.0;0.0;0.0;fraca
2016;1;21;12;0;12;0;0.0;0.0;0.0;0.0;fraca
2016;1;12;4;30;1;0;0.59;0.0;0.0;2.36;fraca
2016;1;9;21;0;0;0;15.19;0.0;0.0;2.36;fraca
2016;1;22;4;30;1;0;0.0;0.0;0.0;0.0;fraca
2016;1;25;6;0;4;0;0.0;0.0;0.0;0.0;fraca
2016;1;20;22;0;15;0;0.0;0.0;0.0;0.0;fraca
2016;1;23;9;0;19;0;0.0;0.0;0.0;0.0;fraca
2016;1;22;2;0;1;0;0.0;0.0;0.0;0.0;fraca
2016;1;26;16;0;7;0;0.0;0.0;0.0;0.0;fraca
2016;1;16;13;0;8;0;0.0;0.0;0.0;0.0;fraca
2016;1;2;18;0;16;0;0.2;0.0;0.0;0.0;fraca
2016;1;7;3;30;1;0;0.0;0.0;0.0;0.0;fraca
2016;1;2;3;0;6;0;0.0;0.0;0.0;0.0;fraca
2016;1;5;14;0;15;0;0.0;0.0;0.0;0.0;fraca
2016;1;5;1;0;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;16;16;30;12;0;0.0;0.0;0.0;0.0;fraca
2016;1;4;6;0;6;0;0.0;0.0;0.0;0.0;fraca
2016;1;19;1;0;4;0;0.0;0.0;0.0;0.0;fraca
2016;1;10;3;30;0;0;1.19;0.0;0.0;3.15;moderada
2016;1;23;14;0;12;0;0.0;0.0;0.0;0.0;fraca
2016;1;19;16;0;9;0;0.0;0.0;0.0;0.0;fraca
2016;1;31;5;0;6;0;0.0;0.0;0.0;0.0;fraca
2016;1;11;22;0;20;0;0.0;0.0;0.0;0.0;fraca
2016;1;30;2;30;1;0;0.0;0.0;0.0;0.0;fraca
2016;1;21;4;0;1;0;0.0;0.0;0.0;0.0;fraca
2016;1;24;1;0;4;0;0.0;0.0;0.0;0.0;fraca
2016;1;1;17;30;5;0;0.0;0.0;0.0;0.0;fraca
2016;1;27;19;30;15;0;7.67;0.0;0.0;0.98;fraca
2016;1;24;0;30;12;0;0.0;0.0;0.0;0.0;fraca
2016;1;7;12;30;10;0;0.0;0.0;0.0;0.0;fraca
2016;1;5;12;0;9;0;0.0;0.0;0.0;0.0;fraca
2016;1;23;21;30;17;0;0.0;0.0;0.0;0.0;fraca
2016;1;17;20;0;16;0;0.0;0.0;0.0;0.0;fraca
2016;1;27;6;0;1;0;0.0;0.0;0.0;0.0;fraca
2016;1;2;1;0;2;0;0.0;0.0;0.0;0.0;fraca
2016;1;8;23;0;18;0;0.0;0.0;0.0;0.0;fraca
2016;1;20;11;30;10;0;0.0;0.0;0.0;0.0;fraca
2016;1;28;19;30;18;0;0.0;0.0;0.0;0.0;fraca
