hour;minute;tweets;related;rainfall (mm/30min);precision;recall;Next batch rainfall (mm/30min);Next batch rainfall class
20;0;5;0;0.0;0.0;0.0;0.0;fraca
12;0;7;0;0.0;0.0;0.0;0.0;fraca
12;30;5;0;0.0;0.0;0.0;0.0;fraca
13;0;11;0;0.0;0.0;0.0;0.0;fraca
12;0;2;0;0.0;0.0;0.0;0.0;fraca
4;30;0;0;0.0;0.0;0.0;2.16;fraca
21;0;0;0;7.08;0.0;0.0;2.36;fraca
4;30;0;0;0.0;0.0;0.0;0.0;fraca
6;0;0;0;0.0;0.0;0.0;0.0;fraca
22;0;4;0;0.0;0.0;0.0;0.0;fraca
9;0;0;0;0.0;0.0;0.0;0.0;fraca
2;0;0;0;0.0;0.0;0.0;0.0;fraca
16;0;7;0;0.0;0.0;0.0;0.0;fraca
13;0;16;0;0.0;0.0;0.0;0.0;fraca
18;0;6;0;0.2;0.0;0.0;0.59;fraca
3;30;0;0;0.0;0.0;0.0;0.0;fraca
3;0;0;0;0.0;0.0;0.0;0.0;fraca
14;0;3;0;0.0;0.0;0.0;0.0;fraca
1;0;1;0;0.0;0.0;0.0;0.0;fraca
16;30;16;0;0.0;0.0;0.0;0.0;fraca
6;0;2;0;0.0;0.0;0.0;0.0;fraca
1;0;0;0;0.0;0.0;0.0;0.0;fraca
3;30;0;0;0.99;0.0;0.0;2.95;moderada
14;0;5;0;0.0;0.0;0.0;0.0;fraca
16;0;6;0;0.0;0.0;0.0;0.0;fraca
5;0;2;0;0.0;0.0;0.0;0.0;fraca
22;0;6;0;0.0;0.0;0.0;0.0;fraca
2;30;6;0;0.0;0.0;0.0;0.0;fraca
4;0;0;0;0.0;0.0;0.0;0.0;fraca
1;0;8;0;0.0;0.0;0.0;0.0;fraca
17;30;2;0;0.0;0.0;0.0;0.0;fraca
19;30;17;0;3.14;0.0;0.0;1.17;fraca
0;30;6;0;0.0;0.0;0.0;0.0;fraca
12;30;6;0;0.0;0.0;0.0;0.0;fraca
12;0;4;0;0.0;0.0;0.0;0.0;fraca
21;30;12;0;0.0;0.0;0.0;0.0;fraca
20;0;4;0;0.0;0.0;0.0;0.0;fraca
6;0;1;0;0.0;0.0;0.0;0.0;fraca
1;0;0;0;0.0;0.0;0.0;0.0;fraca
23;0;2;0;0.0;0.0;0.0;0.0;fraca
11;30;11;0;0.0;0.0;0.0;0.0;fraca
19;30;23;0;0.0;0.0;0.0;0.0;fraca
22;0;1;0;0.0;0.0;0.0;0.0;fraca
8;30;5;0;0.0;0.0;0.0;0.0;fraca
15;0;3;0;0.0;0.0;0.0;0.0;fraca
20;30;21;0;0.0;0.0;0.0;0.0;fraca
6;0;1;0;0.39;0.0;0.0;0.4;fraca
15;0;9;0;0.0;0.0;0.0;0.0;fraca
10;30;5;0;0.0;0.0;0.0;0.0;fraca
2;30;0;0;0.0;0.0;0.0;0.0;fraca
14;0;6;0;0.0;0.0;0.0;0.0;fraca
5;30;2;0;0.0;0.0;0.0;0.0;fraca
0;0;7;0;0.0;0.0;0.0;0.0;fraca
20;30;4;0;12.11;0.0;0.0;0.2;fraca
4;30;5;0;0.0;0.0;0.0;0.0;fraca
1;30;0;0;0.0;0.0;0.0;0.0;fraca
19;0;1;0;0.0;0.0;0.0;0.0;fraca
11;30;2;0;0.0;0.0;0.0;0.0;fraca
16;0;2;0;0.0;0.0;0.0;0.0;fraca
20;0;0;0;0.0;0.0;0.0;0.0;fraca
8;30;5;0;0.0;0.0;0.0;0.0;fraca
21;30;16;0;0.0;0.0;0.0;0.0;fraca
18;0;7;0;0.0;0.0;0.0;0.0;fraca
5;0;0;0;0.0;0.0;0.0;0.0;fraca
17;30;21;1;14.76;4.143978385008743e-06;0.0016129032258064516;0.39;fraca
8;30;2;0;0.0;0.0;0.0;0.0;fraca
21;0;3;0;0.0;0.0;0.0;0.0;fraca
8;0;4;0;0.0;0.0;0.0;0.0;fraca
20;0;4;0;0.0;0.0;0.0;0.0;fraca
12;0;1;0;0.0;0.0;0.0;0.0;fraca
2;0;2;0;0.0;0.0;0.0;0.0;fraca
2;30;0;0;0.0;0.0;0.0;0.0;fraca
3;30;0;0;0.0;0.0;0.0;0.0;fraca
14;30;13;0;0.0;0.0;0.0;0.0;fraca
22;30;5;0;0.0;0.0;0.0;0.0;fraca
23;0;7;0;0.0;0.0;0.0;0.0;fraca
0;0;1;0;0.0;0.0;0.0;0.0;fraca
21;30;3;0;0.99;0.0;0.0;0.4;fraca
8;30;6;0;0.0;0.0;0.0;0.0;fraca
21;30;1;0;0.0;0.0;0.0;0.0;fraca
17;0;7;0;0.0;0.0;0.0;0.0;fraca
17;30;3;0;0.0;0.0;0.0;0.0;fraca
17;0;4;0;0.0;0.0;0.0;0.0;fraca
23;0;16;0;0.39;0.0;0.0;0.2;fraca
18;30;13;0;0.0;0.0;0.0;0.0;fraca
9;0;2;0;0.0;0.0;0.0;0.0;fraca
23;0;4;0;0.0;0.0;0.0;0.0;fraca
9;30;0;0;0.0;0.0;0.0;0.0;fraca
1;30;10;0;0.0;0.0;0.0;0.0;fraca
17;30;8;0;0.0;0.0;0.0;0.0;fraca
13;0;8;0;0.0;0.0;0.0;0.0;fraca
16;0;3;0;0.0;0.0;0.0;0.0;fraca
18;0;3;0;0.0;0.0;0.0;0.0;fraca
11;30;9;0;0.0;0.0;0.0;0.0;fraca
19;30;2;0;0.0;0.0;0.0;0.0;fraca
17;30;20;0;0.0;0.0;0.0;0.0;fraca
16;30;6;0;0.0;0.0;0.0;0.0;fraca
12;0;2;0;0.0;0.0;0.0;0.0;fraca
13;30;11;0;0.0;0.0;0.0;0.0;fraca
0;30;0;0;0.0;0.0;0.0;0.0;fraca
14;0;27;0;0.0;0.0;0.0;0.0;fraca
19;30;12;0;0.0;0.0;0.0;0.0;fraca
4;0;0;0;0.0;0.0;0.0;0.0;fraca
19;0;11;0;0.0;0.0;0.0;0.0;fraca
11;0;3;0;0.0;0.0;0.0;0.0;fraca
22;30;5;0;0.0;0.0;0.0;0.0;fraca
7;30;1;0;0.0;0.0;0.0;0.0;fraca
3;0;0;0;0.0;0.0;0.0;0.0;fraca
9;30;4;0;0.0;0.0;0.0;0.0;fraca
14;30;11;0;0.0;0.0;0.0;0.0;fraca
5;30;0;0;0.2;0.0;0.0;0.2;fraca
21;30;14;0;0.0;0.0;0.0;0.0;fraca
9;0;6;0;0.0;0.0;0.0;0.0;fraca
2;0;0;0;0.0;0.0;0.0;0.0;fraca
20;0;21;0;1.17;0.0;0.0;1.38;fraca
21;0;16;0;1.18;0.0;0.0;1.57;fraca
15;0;2;0;0.0;0.0;0.0;0.0;fraca
14;30;17;0;0.0;0.0;0.0;0.0;fraca
3;30;1;0;0.0;0.0;0.0;0.0;fraca
12;30;37;0;0.0;0.0;0.0;0.0;fraca
6;30;1;0;0.0;0.0;0.0;0.2;fraca
10;30;0;0;0.0;0.0;0.0;0.0;fraca
19;30;3;0;0.0;0.0;0.0;0.0;fraca
8;30;3;0;0.0;0.0;0.0;0.0;fraca
23;0;0;0;0.0;0.0;0.0;0.0;fraca
4;30;2;0;0.0;0.0;0.0;0.0;fraca
10;0;1;0;0.0;0.0;0.0;0.0;fraca
6;0;3;0;0.0;0.0;0.0;0.0;fraca
17;30;7;0;0.0;0.0;0.0;0.0;fraca
9;30;6;0;0.0;0.0;0.0;0.0;fraca
2;0;4;0;0.0;0.0;0.0;0.0;fraca
5;0;0;0;0.0;0.0;0.0;0.0;fraca
7;0;0;0;0.0;0.0;0.0;0.0;fraca
23;30;16;0;0.0;0.0;0.0;0.0;fraca
21;0;2;0;0.0;0.0;0.0;0.0;fraca
20;30;23;0;0.0;0.0;0.0;0.0;fraca
10;30;2;0;0.0;0.0;0.0;0.78;fraca
18;0;3;0;0.0;0.0;0.0;0.0;fraca
9;30;4;0;0.0;0.0;0.0;0.0;fraca
10;30;8;0;0.2;0.0;0.0;1.37;fraca
22;30;18;0;0.0;0.0;0.0;0.0;fraca
